序号,披露日期,处罚日期,当事人,当事人类型,处罚类型,罚没金额（元）,违规领域,违规事实,所属总行,处理机构,法律依据,罚没金额分组
1,2016/4/21,2009/7/28,内蒙古阿巴嘎农村商业银行股份有限公司,法人机构,罚款,10000,金融许可证违规,遗失金融许可证未报告,内蒙古阿巴嘎农村商业银行股份有限公司,锡林郭勒银监分局,《金融许可证管理办法》第十六条第三款,A
2,2016/4/21,2015/10/26,赤峰元宝山农村商业银行股份有限公司,法人机构,罚款,300000,内控制度不健全,在贷款发放和管理中存在严重违反审慎经营规则行为,赤峰元宝山农村商业银行股份有限公司,赤峰银监分局,《中华人民共和国银行业监督管理法》,C
3,2016/4/21,2016/3/23,二连浩特农村合作银行,法人机构,罚款,300000,"信贷业务违规,内控制度不健全",发放集团客户贷款超比例、发放单户贷款超比例、违规发放不符合申请条件的贷款、授信不尽职等严重违反审慎经营规则,二连浩特农村合作银行,锡林郭勒银监分局,《中华人民共和国银行业监督管理法》第四十六条,C
4,2016/4/21,2015/6/15,鄂尔多斯银行股份有限公司,法人机构,罚款,200000,数据报送与治理违规,提供虚假会计报表,鄂尔多斯银行股份有限公司,鄂尔多斯银监分局,《中华人民共和国商业银行法》第七十五条,B
5,2016/4/21,2008/12/25,内蒙古太仆寺农村商业银行股份有限公司,法人机构,罚款,30000,"信贷业务违规,内控制度不健全",向信用状况不良的企业发放贷款，严重违反审慎经营规则,内蒙古太仆寺农村商业银行股份有限公司,锡林郭勒银监分局,《中华人民共和国银行业监督管理法》第四十六条第五款、《中国银行业监督管理委员会行政处罚办法》第十五条第一款,A
6,2016/4/21,2013/4/16,内蒙古翁牛特农村商业银行股份有限公司,法人机构,罚款,300000,内控制度不健全,严重违反审慎经营规则,内蒙古翁牛特农村商业银行股份有限公司,赤峰银监分局,《中华人民共和国银行业监督管理法》,C
7,2016/4/21,2006/9/20,科尔沁右翼前旗农村信用合作联社,法人机构,罚款,10000,内控制度不健全,未经监管部门核准任命高级管理人员,科尔沁右翼前旗农村信用合作联社,兴安银监分局,《中华人民共和国银行业监督管理法》第46条,A
8,2016/4/21,2015/10/29,内蒙古宁城农村商业银行股份有限公司,法人机构,罚款,200000,内控制度不健全,在贷款发放和管理中存在严重违反审慎经营规则行为,内蒙古宁城农村商业银行股份有限公司,赤峰银监分局,《中华人民共和国银行业监督管理法》,B
9,2016/4/21,2014/8/22,正蓝旗农村信用合作联社,法人机构,罚款,300000,"信贷业务违规,内控制度不健全",贷款支付审查不严，造成贷款被挪用、贷后监督不力，致使贷款出现风险，严重违反审慎经营规则,正蓝旗农村信用合作联社,锡林郭勒银监分局,《中华人民共和国银行业监督管理法》第四十六条,C
10,2016/4/21,2015/12/3,内蒙古西乌珠穆沁农村商业银行股份有限公司,法人机构,罚款,200000,"数据报送与治理违规,内控制度不健全","投资信托产品，未充分了解所从事资金业务的性质和风险，致使巨额资金形成风险,严重违反审慎经营规则及提供虚假报表",内蒙古西乌珠穆沁农村商业银行股份有限公司,锡林郭勒银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
11,2016/4/21,2015/12/3,内蒙古西乌珠穆沁农村商业银行股份有限公司,法人机构,罚款,100000,"信贷业务违规,内控制度不健全","向不符合社团贷款条件的借款人发放贷款,严重违反审慎经营规则",内蒙古西乌珠穆沁农村商业银行股份有限公司,锡林郭勒银监分局,《中华人民共和国银行业监督管理法》第四十六条、《中华人民共和国行政处罚法》第二十七条,B
12,2016/4/21,2015/12/28,锡林浩特农村合作银行,法人机构,罚款,200000,内控制度不健全,未经任职资格审查任命高级管理人员,锡林浩特农村合作银行,锡林郭勒银监分局,《中华人民共和国银行业监督管理法》第四十六条,B
13,2016/4/21,2008/12/25,锡林浩特农村合作银行,法人机构,罚款,30000,"信贷业务违规,内控制度不健全",贷款担保不合规，严重违反审慎经营规则,锡林浩特农村合作银行,锡林郭勒银监分局,《中华人民共和国银行业监督管理法》第四十六条第五款、《中国银行业监督管理委员会行政处罚办法》第十五条第一款,A
